,Question,Type
135,"is coumadin ototoxic? | yahoo answers | my husband has been taking coumadin for since april for blood clots in his lungs. lately he has been experiencing ringing in his ears (tinnitus), and i am wondering if it is due to the blood thinners. if it is a side effect of the coumadin, is it temporary or permanent?",P
136,any drug interaction with inderal and diphenhydramine? | yahoo answers | i take a low dose of inderal and i'm wondering if i can take one benadryl that only has one ingredient (diphenhydramine)....will there be any bad side affects besides drowsiness??? i can't get through to my pharmacist tonight for some reason...,P
137,"can a guy take 25 mg of trazodone and be safe of getting priapism? | yahoo answers | doctor prescribed me trazodone for sleep, im afraid of priapism though, i took 25 mg and it did help me sleep, but what are the chances to have priapism using this drug?",P
138,can anyone give me any information on st.johns wort? | yahoo answers | like what effects it has on your body and should you only be using it if you have depression?,P
139,"how safe exactly is 'prodaxa' compared to other medications? and is ' boehringer ingelheim' a trusted company? | yahoo answers | my grandmother is taking this medication vs. 'comadin' because she's able to eat more food. her other argument is that this medication is used to kill rats. she's 80 years old, and frequently has high blood pressure. if you need any more information just ask, i would really like this question...",P
140,"why does my nose keep bleeding? | yahoo answers | ok earlier my nose just started bleeding, for no apparent reason. i wasn't picking at it or anything, or rubbing it, just started bleeding. well, it stopped for a couple of hours, and now it's bleeding again. i don't understand what's going on?",P
141,"what does a mourning nose bleed mean? | yahoo answers | i woke up, went to my mirror, and saw blood pouring out of my right nostril. there was alot, and actually some of it was pretty thick. but it was only my right nostril. its important to note that when i went back to look at my pillow, there was no blood. so, im assuming the blood did not start coming down until i...",P
142,metrogel for rosasha? | yahoo answers | my face gets very red and hot sometimes and it might be rosasha so my doctor said to try metrogel twice a day. has this worked for anyone?,P
143,why do i keep getting a bloody nose? | yahoo answers | i have gotten 1 a day for the last 3 days...i am 20 and haven't got a bloody nose since i was a little kid.  what could be causing this?,P
144,"i have just been diagnosed with lupus. 17 yrs old? | yahoo answers | hello friends. im a 17 year old girl who has just been diagnosed with lupus....and ill be honest.. im really worried about it. however. life is beautifully short. so im determined to learn as much as i can about it and get stuck in to fixing it. im still not entirely sure what lupus involves, its effects, and how...",P
145,is it safe to eat a pomegranate with prozac? | yahoo answers | i recently started taking prozac. i've heard its not safe to eat a pomegranate with it. is that true?,P
146,"im taking prozac for anxiety a d chronic pain, what do you kno about this medication? | yahoo answers | i left narcotics a while ago.  cymbalta and similar thugs never ever worked for me now i'm taking prozac starting today and another one next week callled nur something   anyways what do these do?",P
147,"is there a scientific/chemical explanation as to why saint john's wort is said to interfere with birth control | yahoo answers | i know that there is anecdotal evidence that sjw can decrease the effectiveness of oral contraceptives, but is there any solid evidence or proof that it is actually the culprit in these incidences rather than there being another possible cause? if so, what is the chemical action that causes the interference? also,...",P
148,"what causes nose bleeds? | yahoo answers | when my cousin was little he had terrible nose bleeds all the time, i wondered what causes them",P
149,"is it safe to take heart medications, blood thinners, and blood pressure medicine with penicillin? | yahoo answers | my grandfather was recently hospitalized for a 99% clogged artery. he survived, and he is doing well now, except that he is having some side effects from the medication he is taking. particularly the medication plavix.he coughs constantly, and gets very dizzy very easily. my grandmother is worried that the...",P
150,"what kind of pill it this? | yahoo answers | its not so small, its oval shaped & is a light yellowish color? on one side it says 10 and on the other side it says  e 797 what kind of pill is this?",P
151,"i don't want to take coumadin anymore, and i'm looking for an herbal/natural supplement? | yahoo answers | i care a lot about what i put into my body, and i don't like the limitations coumadin puts on me. i don't want a restricted greens diet, and i don't want to spend my life avoiding ginseng and kelp and ginger. i'm looking for a natural way to regulate myself the way coumadin does.",P
152,what is a good heart rate after walking 2 miles at age 67.? | yahoo answers | i'm 67 years old. i had open heart surgery 6 months ago. i had a valve replacement and a double by past. and also something for a fib. i am up to walking 2 miles every morning. i check my pulse rate right after i finish walking. my pulse rate is between 61 and 70 and my blood pressure is around 120/74. is this...,P
153,"attn: people who have used lovenox or coumadin..i have a question for you.? | yahoo answers | i just found out today i will be on blood thinners the rest of my life. i am currently on 5 mg of coumadin daily. however, i had lovenox injections jointly with coumadin in the hospital until it took effect. my question is, would you rather have the lovenox injections or coumadin pills for the rest of your life?...",P
154,how long do you have to wait to take tylenol if you already took propoxyphene? | yahoo answers | i heard that it is dangerous to take propoxyphene and tylenol at the same time. andi just want to know how long you have to wait if you took propoxyphene. ,P
155,"whats up with saw palmetto? | yahoo answers | i know its used to help enlarged prostate and can also help with dht production and hair loss, but as for ""side affects""?? some people say it made there sex drive skyrocket cuz its a light aphrodesiac, others say it made it shoot down?? whats the deal?? which one is it? does anyone know a good list of side affects,...",P
156,sound like a kidney infection? | yahoo answers | i have a pain in my left side underneath my ribs in the front and in my back (same place) my urine smells a little bit and sometimes when i go to the restroom i cant pee all the way it seems like. i've had a kidney infection before but i had fever and nausea and just straight felt like crap. does this sound...,P
157,do blood thinners make you feel weak and tender all over? | yahoo answers | my legs and arms hurt and i feel weak since taking warfarin sodium 4 mg,P
158,"could getting a steroid (cortisone) shot for plantar fasciitis have anything to do w/ a facial infection? | yahoo answers | i have had a big problem with plantar fasciitis over the past year and have received 2 shots in my heel in that time.  i had one last april (2007) and one last month (january 2008).  within the last week (today is feb. 9th) i have had swelling in my face and have been diagnosed with a ""facial infection."" ...",P
159,doctors & physicians- what is the treatment for deep venous thrombosis??? | yahoo answers | no-question,P
160,"can you have sex? | yahoo answers | if your on a blood thinner pill? see im taking a blood thinner pill called coumadin and though sex isnt a big deal in my relationship, can i still have sex. surely i'm going to wait a few weeks maybe months before having sex again so my body can get used to the pill, that is if sex is even safe while...",P
161,cardiac pacemaker for these issues? | yahoo answers | i am 18 and i have rapid heart rates at rest. i have been on toprol (a beta blocker) and my symptoms have really affected my life which led to me getting this pacemaker. i also have exercise intolerance because my heart remains unchanged instead of increasing and decreasing in response to activity level. i have...,P
162,"do breast enhancment pills interfere with birth control pills? | yahoo answers | i have been taking yasmin birth control for a while now..and i have these breast enhancment pills called ""breast assure complex""  my question is will the breast enhancment pills interfere with my birth control pills or make them less effective?",P
163,"how to use centrum ? ? | yahoo answers | i want to use centrum ,and i want to know how to use it ? before,after,with food ?? with or without water ? in what time ? ",P
164,"has anyone had a catheter ablation procedure to cure a heart arrythmia? | yahoo answers | if so, what was your experience? any side effects, was it successful, have you had any symptoms after?",P
165,"what will happen, if take ginkgo bioba for long term? | yahoo answers | no-question",P
166,"does flaxseed oil interfere with other supplements and medications? | yahoo answers | i am currently taking gnc women's ultra mega active vitapak, a 100% whey protein shake, and am on ortho-tri cyclen lo birth control. will taking flaxseed oil interfere with any of these?",P
167,"why am i getting frequent nosebleeds? | yahoo answers | i've never had a problem with nosebleeds before, but now they're happening several times a week.  this has been going on for about a month now...is it something i should be worried about, or is it just the humidity?",P
168,what will non-aspirin pain relievers do too you? | yahoo answers | if you yake too miny?,P
169,"does anyone know what this means? doctors,pharmacist? | yahoo answers | drugs metabolized by cytochrome p450 (e.g., diazepam, warfarin, phenytoin, cyclosporine, disulfiram, benzodiazepines): omeprazole can prolong their elimination. monitor to determine need for possible dose adjustments when taken with omeprazole (7) ??????????anyways i do have anxiety and am wondering if it...",P
170,"would you please tell me what dvt is? | yahoo answers | i figured out that it's related to my swolen ankle, but after that, i'm stumped. thanks.",P
171,"pinkish urine from a cat? | yahoo answers | i have a 2 years old female cat. for about almost 2 months she has a constipation problem, or what i thought it was. so, i've been giving her laxatone. and, somewhat it's been helping her with pooping. and, sometimes she does has a hairball problem too due to her long hair. she still does go back and for to...",P
172,can being poisoned from rat poisoning cause infertility in humans? | yahoo answers | i want to know for personal reasons...i've searched everything but found nothing on it.  i would really like an answer!,P
173,"if medicines like ibuprofen are anti-inflammatory, why do they inflame the digestive system? | yahoo answers | with nsaids you are advised to take them with food as otherwise they will eat through your stomach, which seems contradictory to me.",P
174,if i have lupus anticogulant? | yahoo answers | how difficult is it going to be to get my doctor to prescribe clomid. i have pcos. please only nice answers...and helpful ones pretty please,P
175,is st john's wart safe?? | yahoo answers | no-question,P
176,"could eating garlic cloves used to cook beans cause serious gas problems? | yahoo answers | i was told the reason we put garlic cloves, an onion, a potato, etc, in beans while they're boiling is to soak up the ""gas"". is this true?i ""think"" i may have also heard once that you're supposed to ""remove"" the garlic, onion, or potato, when the beans are fully cooked, and...",P
177,"is drinking too much tea not good for you? | yahoo answers | i try to drink tea between little meals, because it makes me kind of full. and i always want somethin in my mouth so i drink it. and i heard that if you drink warm stuff it speeds up your metabolism.  im trying to really lose weight :(",P
178,"zoloft for anxiety issues? | yahoo answers | i have been having extremely bad anxiety for one month as of yesterday.  i have no idea whats causing it, but its getting worse and is always really bad when im in a car especially while driving.  i have also been having panic attacks associated with this anxiety.  i went to a psychiatrist and he gave me 0.25 mg...",P
179,"what are the possible reasons i don't clot well? | yahoo answers | i have a cut on my finger that won't stop bleeding. it's not bleeding badly, but it's been oozing for about a day now.  i have a history of this as well. for instance, i had a dental procedure recently and the bleeding didn't stop completely until after a week. i know most of the common ways to stop...",P
180,throwing up clumps of blood.? | yahoo answers | okay last night i had a cocktail or two with some friends. i woke up this morning and started throwing up. i've noticed my vomit had little round clumps of blood in it. i've also been needing to go to a doctor about blood on my t.p. after using the bathroom. stomach pain. diarrhea. itchy butthole. i've...,P
181,"can a brain clot reappear? | yahoo answers | i just healed from a tiny brain clot 3 weeks ago, i wanna know if its possible that it could appear in the future?",P
182,"i have hypothyroid. its very long since ive had fever.why ? | yahoo answers | i am taking thyroxin 150mcg daily. whenever there is a infection, i feel  tired, body pains, headache and all that except that i dont run high temperature.  like everybody else, after taking in proper drugs, i feel alright after a couple of days.during my chilhood when i have fever, i used to run high body...",P
183,"what does urine consists of? water and salt? | yahoo answers | does urine contain water, salt and waste? what else does it contain?",P
184,"i really need an honest answer on this one? | yahoo answers | please don't go ""eww gross"" or anything else like that. after saying that here is my question:for the past two weeks or so my urine has been extremely pale. at it's darkest it is pale yellow, at it's lightest it has been completely clear. i haven't changed my eating habits, haven't...",P
185,is sulphur in a soap or skin ointment a good remedy for skin problems ? like what is the action of sulphur ? | yahoo answers | no-question,P
186,"extreme pain from cold.? | yahoo answers | trying to google with these terms proves pointless, so i thought i'd ask here.my father-in-law is suffering from extreme pain from even the slightest bit of cold he even thinks in is the air.  my fiancee is burning up in a sweat, and my father-in-law is hyperventilating because he thinks it's cold as he...",P
187,does anyone know any info. on focalin a new add medication? | yahoo answers | no-question,P
188,"why don't energy drinks or 5-hour e work for me? | yahoo answers | i'm 27 and whenever i need to stay awake i usually drink a red-bull, energy shot, or coffee - but they don't do anything for me. i end up crashing really bad nearly 2 hours after taking something like this - anybody have some suggestions?",P
189,"could i be pregnant, or is this just a wacky period? | yahoo answers | i had my period 4 days late - brown/pinkish at first, then some bright red, and now the normal color.  normally i have 3 or 4 days of a super heavy to heavy flow, and then it gradually gets lighter.   now it's been pretty light.  i normally lose alot of tissue also, but i have only seen 2 or 3 large clumps.  me...",P
190,i just had a crown cemented and i am taking coumadin.? | yahoo answers | my dentist said i have inflammed gums. does it mean i have gingivitis?,P
191,what is the prognosis for a  39 year old female with a  leaky mitral valve? damage  greater than 50%.? | yahoo answers | no-question,P
192,st. john´s wart and birth control? | yahoo answers | will st. john´s wart cause the pill not to work.,P
193,"stopping blood pressure medications? | yahoo answers | am 46 , i am 153(i use to be 190) i am 6.2. i always had high blood pressure(since the age of 16) and it was always emotional high blood pressure. i started taking bp medication about 8 years ago. now i am on 2 medications coreg 12.5 per day & benicar 40mg per day. i switched to a fruitarian rwafoodist diet and my...",P
194,does synthroid make you moody or make you have mood swings? | yahoo answers | no-question,P
195,"does grapefruit juice affect aceon? | yahoo answers | i've heard that consuming grapefruit and grapefruit juice can have adverse effects on certain drugs if they are taken in conjunction.  aceon (perindopril) is an ace inhibitor used to treat hypertension (high blood pressure).  is aceon among the drugs that are are affected?  if so, how long must one wait between...",P
196,does ginkgo biloba work? | yahoo answers | i forgot a few things last week...fifty something.  wondering what will help,P
197,i take paxil...what is the worst that can happen if i also take phentermine? | yahoo answers | i take the paxil at night before going to bed. can i take the phentermine in the morning and not have any side effects?,P
198,what are the risk factors if you take simcor? | yahoo answers | no-question,P
199,"what happens when you stop taking lovenox? | yahoo answers | once the doctors say you acn stop taking it, what kind of side effects will you have?",P
200,is it safe to take synthroid and fish oil? | yahoo answers | i'm a 24 year old male.  i currently take 100mcg of synthroid every morning and usually 2400mg of fish oil at night.,P
201,any of you on cumadin? did your dr. tell you to stay away from green veggies? my moms cardiologist didnt say t | yahoo answers | my moms cardio dr. didnt say green veggies should be avoided. however she gets those ugly big blotches and gets nosebleeds which requires the cumadin meds to be decreased every now and then. her nurse said stay away from the green veggies.  any of you have this experience?,P
202,does anybody kno if whatever is in maletonin supl.cause fibroids to bleed? | yahoo answers | no-question,P
203,"natural supplement good for early alzheimer's???? | yahoo answers | my dad is 65, and has a failing memory, no signs of alzheimers on the ct scan or the mri, but the doctor put him on aricept..he got worse and very confused after 4 weeks..we took him off of it..doing a little better, but is there anything he can take to help with alertness, memory and energy??  thank you",P
204,is it safe to take 200iu of vitamin e per day? | yahoo answers | i'm 28f.,P
205,i drink 6 to 8 cups of green tea a day (sugarless). does it have any adverse effects on my body? | yahoo answers | no-question,P
206,"what fertility supplements should i try? please help me out !? | yahoo answers | if i go to cvs or a pharmacy, what would you recomend for trying to get pregnant? any other methods? please give any helpful advice! thanks ! bless you all!",P
207,"heart medication - aspirin? | yahoo answers | if aspirin is supposed to prevent heart attacks, how does it work? is it an anticoagulant like coumadin?  does it dilate the vessels like cialis? are there other herbs or common medications which serve the same purpose?",P
208,"is easy bruising a sign of blood clots? | yahoo answers | i have multiple bruises (large and small) of different ages all over my legs.  it's been this way for about 2 months.  they keep coming and going for no reason.  a friend told me that it could be because i take tegretol (carbamazepine) daily for seizures, but i've been taking this med for years, and this...",P
209,can i take sleeping pills  while taking depakote er? | yahoo answers | i'm taking prescription depakote er but am having much trouble sleeping for the first time since i started taking the drug two weeks ago. which drugs interact with depakote er and am i safe taking sleeping pills?,P
210,thinking about switching medications? | yahoo answers | i'm currently taking celexa and i wanna switch to something a little stronger. i wanna know if its safe to go from that to zoloft and how long should i wait before taking something new.,P
211,question about st. johns wort..? | yahoo answers | do you have to take it everday for it to be effective or can you just take it on the days when you arent feeling so great...?,P
212,"could it be a blood clot? | yahoo answers | i just started using the nuvaring on sunday and just yesterday, i started feeling a pain in my calf..i read that a serious side effect may be a blood clot in the back of the lower leg...could this be one? this quickly?",P
213,is ginkgo a good herbal suplement? | yahoo answers | has any one tried this before?,P
214,"good advice about taking vitamins? | yahoo answers | hello everyone, :di am considering taking vitamins for my hair because i do have thin hair & prone to breaking. i've asked everyone around my family and my aunt told me that i need to see the doctors about taking vitamins because you can quite easily overdose on your daily amount. basically, all i...",P
215,"if i shoot a wild boar in virginia, can i eat it or will it have diseases and worms? | yahoo answers | no-question",P
216,does anybody here take the birth control pill cryselle? | yahoo answers | does it have any interactions with the anti depressant lexapro?,P
217,"are there any chat lines or support groups on line for heart surgery patients? | yahoo answers | i recently , as of 3 months ago had my mitral valve repaired via a minimal invasive surgery procedure.   i am still on the drug warfarin and atenolol  untill the cardiologist sorts out my irregular heart beat , it could be side effects from the drugs in which case once i am weaned of the drugs and my body has time...",P
218,i have a ringworm...help!? | yahoo answers | i have cats and i am most certain that i got it from them. i need to know how to cure it before it spreads... my sister has already been infected. its on my chest and im very desperate to get it off.,P
219,"my mother has lupus is this the best medication for her?????? help!? | yahoo answers | my mother has lupus and she is suffering. she has chronic sinus infections as well as high blood pressure, headaches, she is also quite swollen. the doctor prescribed her paquinal 200mg,  warfarin sod 6mg, nifedical xl 60mg, and univasc 15mgs.  are these the best medications to deal with lupus and high blood pressure?",P
220,"blood test and possible dvt? | yahoo answers | i have suspected dvt and my gp has arranged a blood test for me tomorrow,if they find something what is likely to happen treatment wise?",P
221,confused about sleeping pills? | yahoo answers | okay so im 14 and im gonna take 2 3mg of melatonin. i was wondering if that's bad..? i need some details and need to know if its not a good idea. thanks =)i just wanna know if i'll like faint or something or if i can die.. also will i fall asleep instantly? how does it work? this is my first time so...,P
222,st. john's worts herbal anti-depressants safe? | yahoo answers | i'm 17 years old im depressed and when i say depressed i mean extremely depressed...... i have family issues atm aswell as a 101 million other things going on.. is the st john worts tablets safe to use? and does cause weight gain? or anything,P
223,advantages and disadvantages of using antibiotics to treat bacterial infections? | yahoo answers | at least 4 each please,P
224,what are the health benefits of raw ginger root and how much can be consumed safely ? | yahoo answers | no-question,P
225,"has anyone ever heard of mangosteen juice helping someone with shingles? | yahoo answers | my grandfather has shingles and postherpetic neuralgia (the pain after the rash).  he is quite elderly, 90 years old but very healthy otherwise.  you would never know he is 90.  i was wondering if anyone has heard of this juice helping with this pain from shingles.  i hate to see him in such pain.",P
226,why would someone be against using depression meds? granted she is a teenager and doesnt believe anyone should? | yahoo answers | take them she says everyone should just work out thier problems in thier head is she just young and naive does she believe that a chemical imbalance in the body can be cured in your head?,P
227,st. john's wort with multi-vitamins safe to take? | yahoo answers | i'm currently taking st. john's wort for depression and would like to know if it's safe to take it with multi-vitamins.  i've heard that it's not safe to take st. john's along with medications and wondering if it's the same with taking multi-vitamins.,P
228,my grandmother need help with afib? | yahoo answers | a few months ago my grandma was diagnosed with afib she was ok for a while but recently her blood pressure and heart rate have been increasing ireggularly at 198/106 pulse 120 with medication it comes down a little bit and then comes right back u again and today it's decreased and she starts feeling really week...,P
229,"how to get rid of jock itch? | yahoo answers | hello my name is trevon i am a 14 year old basketball, football, soccer, tennis, and baseball player i plan to make it to the pros i am practicing very hard but the only problem is i am a victim of jock itch it is so annoying how my private area itches so much my mother took me to the doctor they gave me the cream...",P
230,"i have bad headace! please help me...? | yahoo answers | i tooked  prevacid pills at 12pm, it's 30 mg.....i have terrible bad headace, i want take tylenol pills, is that safe?",P
231,needing an urgent advice!? | yahoo answers | my grandmother is 65.her leg was swollen for a few days.so she visited a doctor .he said that she must have a sonography  of her leg. the result of the sono showed that there is  a blood clot in the leg  (vein thrombosis).the diagnosis was venous vestas.the doctor prescribed selecsan(not sure about the dictation)...,P
232,what is simvastin? what will it do to me? | yahoo answers | no-question,P
233,"my left big toe stays discolored from tip to foot joint. what causes that? | yahoo answers | in january, 2010 a blood clot was found in the left leg.  i am on blood thinner (pradaxa) for a-fib. no injuries to the toe, but the discoloration decreases overnite, but returns when i am on my feet or sitting.",P
234,"cardiovascular medicine? | yahoo answers | 1.	you are preparing to teach an 85-year-old woman about the actions and side effects of nitroglycerin for the treatment of angina. what aspects of teaching would you emphasize, given the patient’s age?2.	a 78-year-old woman has a long-standing history of atrial fibrillation. she takes digoxin (lanoxin) (0.125...",P
235,"can i take st johns wort with evening prim oil caps? am also asthmatic? | yahoo answers | i am astmatic and have also just been prescribed anti d's. i have been taking epo, and a multi vit and was reading up on st johns wort. it appears to have the same effect if not better than anti d's? i was wondering if anyone takes it and can offer any thoughts on this?",P
236,fluoxetine and microgynon? | yahoo answers | does anybody happen to know if it's safe or advisable to take fluoxetine and microgynon together? (contraceptive pill.) does anyone have any experience of this cocktail?  ,P
237,can high blood pressure and cholesterol cause pain all over my body? | yahoo answers | i have high blood pressure and cholesterol in which i take medication for both. i experience constant pain all over my entire body espesially in my back and neck and it is all the time and have had this for the last few months the worse. i was not injured so i am wondering if those problems could cause pain or if...,P
238,what addition can be used in preventing anticoagulation? | yahoo answers | in relation to phlebotomy and venipuncture.. what addition can be used to prevent anticoagulation of blood?,P
239,does anyone know if antibiotics and motrin800? | yahoo answers | does anyone know that if you mix motrin and eurthurmicin if you can get severe diahhreh?  i am bipolar and some other drugs but i am also lactose intolerent and the only way i can take the motrin is with a little bit of milk.  now i have diarrhea so i bad i can barely leave the bathroom.  i also vomited twice and i...,P
240,how to get rid of a cold or flu. asap. please help.? | yahoo answers | easy ways to get rid of a cold or flu.  nausea.??? severe sore throat.???,P
241,"reumathoid arthritis? | yahoo answers | my sister who lives in miami  beach fl  is in deep pain because of reumathoid arthritis, and since she is also on dialysis and waiting for a kidney transplant, there are some medicines that she cannot take, but we heard that there is a cream that is used for horses when they have muscle pain or arthritis, and which...",P
242,does anybody have any info on the diet pills called  ali? | yahoo answers | i believe that is the name. thanks...,P
243,i got jock itch but we don't have any corn starch? | yahoo answers | ok i got jock itch and i know that corn starch  will cure it but we don't have any will baby powder work? we have that,P
244,"is i true that cranberry juice has cleansing propertines the clean out the kidney's? | yahoo answers | i have s light ""ache"" on th far left side bottom and a little to the side, and wonder could it be kidney trouble? would a cbc panel tell it? thank for the feed back!",P
245,taking protonix durring pregnancy? | yahoo answers | no-question,P
246,whats a good athletes food treatment? | yahoo answers | i have had this problem before and used a spray but it only took care of it for a while and it's back now.so i was wondering what people suggest to use? not looking to go to the dr for anything. thanks :),P
247,what foods have vitamin k in it? | yahoo answers | my grandma is on a medication called coumadin and her doctor told her to stay away from foods that have vitamin k in it.so what foods have vitamin k in it?,P
248,"overdose on naproxen sodium? | yahoo answers | if a teen was prescribed naproxen (one 550mg a day) for cramps, would they get high or o.d. or something?!?! i need to now asap, im worried about a friend!!!",P
249,does luvox interact with thioridazine? | yahoo answers | can i use both of them together?!!,P
250,"dumb question, which time did i get pregnant? | yahoo answers | okay, this is pointless to even worry about but i'm curious as to which day i got pregnant. my last period was september 16th, 2008. i had sex various times with my husband in september and october. my estimated conception date is october 11th. however, i had sex on the morning of the 8th and the night of the...",P
251,"my mother is  dialysis; since starting, she feels awful, there is a constant pain in one spot on her back.? | yahoo answers | she is nauseated and weak all of the time.  she takes bp med,  phoslo, hectorol, midodrine, iron tablets, warfarin, lyrica, and klor con, i think these meds are making her sick. hectorol and phoslo seem to contradict each other--i also feel that she really didn't need to be on dialysis so soon. ...",P
252,can you die from consuming too much garlic? | yahoo answers | my mother worked with a man who this past week died from consuming too much garlic.  this is what the autopsy showed.  is this really possible? any similar stories out there like this?,P
253,"mixing medication, will it harm me? | yahoo answers | if i take two advil and a some children's cold and cough syrup, it's not going to kill me or cause blindness or anything else right? i have this horrible fever cold thing and i can be pretty aggressive with illnesses.also the advil bottle says i only need one but i always take two pills but it doesn't...",P
254,surgery for pseudotumor cerbri? | yahoo answers | no-question,P
255,natural treatment for migraines??? | yahoo answers | no drugs no nothing please. do you know anything that can be done natural that helps?? any directions? thank you!,P
256,"centrum performance and 500mg ginseng tablets safe to take? | yahoo answers | is it safe to take centrum performance and 500mg ginseng tablets once a day?  i think it should be ok since centrum performance only has 50mg of ginseng, but i dont know if 550mg is too much.",P
257,"help! ringworm besides my scrotum..? | yahoo answers | help me please it start 1year ago and it keep on coming back,now it so itchy and so i scratch it and turn into wounds,it so very itchy.. when my underwear is so fit it let on coming back the itchiness.. what medicine should i use? and how do i remove the remaining scars? please help me give me any idea to solve...",P
258,"what other natural alternatives are there to simvastatin to lower cholesterol, e.g. coenzyme q10 supplement? | yahoo answers | i have various health problems including high cholesterol and i take heart pills, warfarin and simvastatin 40mg.  since i have been on simvastatin though, my legs really ache and it is very painful and difficult to walk.  also my appetite has not increased, but i have gained a lot of weight.",P
259,"is ginko also good for eczema on children? | yahoo answers | i heard ginko is very good for skin problems on adults.but is it also good for children , and is there a ginko cream for eczema on children? or should they drink ginko tea?",P
260,is it true pregnant women can't eat pineapple? | yahoo answers | no-question,P
261,bladder problems for my dad? | yahoo answers | hellomy dad has always had problems with his bladder.  he constantly keeps getting urine infections.  he has been to the doctor so many times and all they keep doing is giving him different antibiotics.  they work and clear it up but then it returns.  it's driving him insain!  he's in his late...,P
262,"what's the best meds period cramps? | yahoo answers | what's the best meds for period cramps? ibuprofen, advil, model, aleve or any other meds you can think of.",P
263,has anyone tried this product mifepristone? | yahoo answers | has anyone tried this product mifepristone? if so can anyone honestly tell me what the side effects are and what happens when this product is taken? im just wondering! and will plan b stop a pregency for going in futher.,P
264,my father is taking naproxen sodium (skelan) is it harmful for the liver? | yahoo answers | my father has a history of fatty liver and he is taking naproxen sodium (skelan) 3 times a week to help him exercise. does taking namproxen sodium outweighs the benefits due to the fact of his liver condition?,P
265,"a gross question...kind of? | yahoo answers | i read in some health fitness magazine that if your urine is bright yellow (or dark yellow) that it means you need to drink more water - given that you haven't altered your chemistry with medications. and, if your urine is reddish-orange or dark orange (almost brownish) that you have liver failure. is this true?",P
266,"what's next when cardioversion didn't work? | yahoo answers | it worked for a couple of days, then back to atrial fibrilation.",P
267,"omega 3 question and warning? | yahoo answers | omega-3 fatty acids should be used cautiously by people who bruise easily, have a bleeding disorder, or take blood-thinning medications, including warfarin (coumadin) or clopidogrel (plavix), because excessive amounts of omega-3 fatty acids may lead to bleeding. in fact, people who eat more than three grams of...",P
268,"is my friend sick...? | yahoo answers | he is taking asprin i think, and another medication, cant remember the name but its like a blood thinner, cuz the blood clotted his arteries, and hes always falling asleep easily, is there something wrong with him?",P
269,"is it safe to take citalopram....? | yahoo answers | is it safe to take: 20mg of citalopram; multi-vitamin; & 4mg of biotin i've been taking the biotin and multi-vitamin for awhile and i recently decided to start taking my prescribed citalopram along with it, is the combination safe?",P
270,can you take the drug evista and have lidocaine injected for surgery? | yahoo answers | no-question,P
271,is mixing quercetin with an alcohol such as vodka safe? does it alter the texture at all? | yahoo answers | no-question,P
272,teenager taking vitamin e tablet? for skin n acne? | yahoo answers | im 13 yrs old... i heard vitamin e is really good for skin... i have acne n acne scars.. if i take vitamin e tablet daily will it work? because i dont know if i should take it in this age...,P
273,"adderall in your system? | yahoo answers | if i were to take 20 mg of instant release adderall for 3 days straight, how long would it take to be out of my system?",P
274,can u take alieve while on effexor? | yahoo answers | no-question,P
275,"is erythromycin for acne? | yahoo answers | my derma gave me a togs bar- to cleanse the face. however, it';s not foamy..  erythromycin- to be applied onto whole face.. r&s lotion- to be applied on areas affected by acne.. what are these?",P
276,if you take 10 anvil at one time do u need to go to the hospital? | yahoo answers | i really need to know!,P
277,"does anyone know anything about this drug?(mephton)? | yahoo answers | i have a 28 year old uncle that did that cancer until just recently. now it's in remission and he's home. he was prescribed some medication  that is called ""mephton"". my aunt called me and asked me to look it up becuase they were just curious what it was for, but i cannot find it anywhere on the...",P
278,"is this a normal amount of drugs for one senior to be on? is this safe? | yahoo answers | my grandmother is in her mid 80s, and i recently moved in to help out. she has a cocktail of daily pills that she hates taking. the pills are organized by time-of-day she's supposed to take them, and we've marked which need to be taken with food or at least juice.  i looked up what each of her pills does...",P
279,"i need some help? | yahoo answers | my little brother has been having some health issueshe has been having:eye pressure, headaches, nausea, chest pain, and wrist numbness/pain, slight fever and he has recently developed a slight cough and he is always clearing his throathe is 18it has been happening for about 7 monthshe doesn't work out...",P
280,"could it be from taking ocella? | yahoo answers | last monday, i woke up very early and had to urinate. i did and went back and tried to go back to sleep. almost instantly i had to pee very bad again. i got up and tried but nothing came out and this time it burned and gave me chills. i would go and lay back down and instantly again i would have to pee. this went...",P
281,"saw palmetto and hair loss? | yahoo answers | so, i've been battling with first alopecia and then anorexia which exacerbated the alopecia and made my body start growing kinda dark-ish lanugo. i was wondering if saw palmetto would get rid of the excess body hair while making my topical hair stop falling out? on top of that i was wondering if saw...",P
282,"i was curious as to how many of you out there have had mitrial valve replacement done with a titanium valve? | yahoo answers | just wondering how many take sotalol and warafin; and their doses.  not wanting any private info, just facts and side effects of these drugs from real people.",P
283,what does it mean (medically) that my urine is dark yellow in color?? | yahoo answers | no-question,P
284,"bruises on skin, everyday there is a new one? | yahoo answers | i have  a friend who is getting black and blue bruises on her skin, it began with one or two, and now she has quite a few, she made an appt. with her doctor, she is not on comedem, nor is she taking any aspirin, has anyone experience this before?",P
285,what does it mean (medically) that my urine is dark yellow in color? | yahoo answers | no-question,P
286,"does clear, water-like urine indicate a sign of good health, and does darker,murky urine indicate the opposite | yahoo answers | no-question",P
287,depression but cannot take antidepressants? | yahoo answers | what would a doctor do if you have depression but cannot take antidepressants because you are on coumadin (aka warfarin; blood thinners).,P
